trv_loc_nm,yw,bubble_cnt
경상남도,201933,16
제주특별자치도,201933,6
서울특별시,201934,16
부산광역시,201934,9
대구광역시,201934,6
인천광역시,201934,13
광주광역시,201934,4
대전광역시,201934,5
울산광역시,201934,2
세종특별자치시,201934,1
경기도,201934,28
강원도,201934,25
충청북도,201934,12
충청남도,201934,15
전라북도,201934,10
전라남도,201934,12
경상북도,201934,17
경상남도,201934,15
제주특별자치도,201934,6
서울특별시,201935,13
부산광역시,201935,7
대구광역시,201935,5
인천광역시,201935,10
광주광역시,201935,3
대전광역시,201935,4
울산광역시,201935,2
세종특별자치시,201935,1
경기도,201935,20
강원도,201935,19
충청북도,201935,10
충청남도,201935,13
전라북도,201935,8
전라남도,201935,10
경상북도,201935,15
경상남도,201935,12
제주특별자치도,201935,5
서울특별시,201936,12
부산광역시,201936,6
대구광역시,201936,4
인천광역시,201936,8
광주광역시,201936,3
대전광역시,201936,3
울산광역시,201936,1
세종특별자치시,201936,1
경기도,201936,15
강원도,201936,10
충청북도,201936,6
충청남도,201936,8
전라북도,201936,5
전라남도,201936,6
경상북도,201936,9
경상남도,201936,7
제주특별자치도,201936,3
서울특별시,201937,14
부산광역시,201937,13
대구광역시,201937,11
인천광역시,201937,15
광주광역시,201937,7
대전광역시,201937,7
울산광역시,201937,4
세종특별자치시,201937,2
경기도,201937,30
강원도,201937,24
충청북도,201937,15
충청남도,201937,22
전라북도,201937,18
전라남도,201937,23
경상북도,201937,30
경상남도,201937,24
제주특별자치도,201937,4
서울특별시,201938,14
부산광역시,201938,6
대구광역시,201938,5
인천광역시,201938,11
광주광역시,201938,3
대전광역시,201938,4
울산광역시,201938,2
세종특별자치시,201938,1
경기도,201938,20
강원도,201938,14
충청북도,201938,8
충청남도,201938,11
전라북도,201938,6
전라남도,201938,8
경상북도,201938,10
경상남도,201938,8
제주특별자치도,201938,4
서울특별시,201939,15
부산광역시,201939,7
대구광역시,201939,5
인천광역시,201939,12
광주광역시,201939,4
대전광역시,201939,5
울산광역시,201939,2
세종특별자치시,201939,1
경기도,201939,22
